Jastrabie nad Topľou	48.94837	21.61138
Jastrabie pri Michalovciach	48.71862	22.03214
Jastrabá	48.6316	18.93633
Jatov	48.13803	18.0051
Jazernica	48.9262	18.82986
Jedlinka	49.39927	21.37009
Jedľové Kostoľany	48.46939	18.49762
Jelenec	48.37844	18.22351
Jelka	48.14545	17.51126
Jelšava	48.48333	20.35
Jelšovce	48.38233	18.05795
Jelšovec	48.28159	19.60059
Jenkovce	48.65561	22.20919
Jesenské	48.30635	20.07081
Jestice	48.21903	20.05365
Jezersko	49.30279	20.35031
Ješkova Ves	48.55014	18.34486
Jovice	48.631	20.54975
Jovsa	48.81916	22.09079
Jur nad Hronom	48.12909	18.62523
Jurkova Voľa	49.32192	21.51237
Jurová	47.93359	17.52283
Jurské	49.20247	20.52544
Juskova Voľa	48.87936	21.56851
Jánovce	48.17799	17.53241
Kajal	48.18618	17.78424
Kalameny	49.12523	19.41533
Kalinkovo	48.0598	17.25353
Kalinov	49.31718	21.92219
Kalinovo	48.39241	19.70703
Kalnište	49.13075	21.48319
Kalná Roztoka	48.96827	22.32422
Kalná nad Hronom	48.1938	18.51137
Kalonda	48.25962	19.65615
Kaloša	48.41505	20.22563
Kaluža	48.80782	21.99993
Kalša	48.61417	21.52362
Kamanová	48.47525	18.10205
Kamenec pod Vtáčnikom	48.65725	18.58821
Kamenica	49.18895	20.9593
Kamenica nad Cirochou	48.93144	21.99701
Kamenica nad Hronom	47.83106	18.72798
Kameničany	49.0101	18.15242
Kameničná	47.81886	18.03861
Kamenná Poruba	48.84763	21.64909
Kamenné Kosihy	48.14221	19.19346
Kamenný Most	47.85124	18.65639
Kamenín	47.88844	18.64313
Kameňany	48.57737	20.19156
Kamienka	49.33239	20.61459
Kanianka	48.8164	18.58541
Kapince	48.45066	17.97505
Kapišová	49.3457	21.59413
Kaplna	48.29249	17.45751
Kapušany	48.6	21.73333
Kapušianske Kľačany	48.51077	22.09835
Karlová	48.96065	18.90071
Karná	48.98415	21.80636
Kazimír	48.52875	21.5911
Kačanov	48.61222	21.84433
Kaľamenová	48.88923	18.77572
Kaľava	48.93415	20.86819
Kašov	48.48984	21.74161
Kecerovce	48.82455	21.4087
